t,x,v
18.8756,2.01414,-0.0210406
18.8798,2.01405,-0.0264028
18.8843,2.01392,-0.0314315
18.889,2.01376,-0.0360705
18.894,2.01357,-0.0402935
18.8992,2.01334,-0.0440945
18.9048,2.01309,-0.047481
18.9105,2.01281,-0.0504703
18.9166,2.01249,-0.0530857
18.9229,2.01215,-0.0553546
18.9296,2.01178,-0.0573066
18.9365,2.01137,-0.0589721
18.9438,2.01094,-0.0603813
18.9515,2.01047,-0.0615638
18.9595,2.00997,-0.0625477
18.9679,2.00944,-0.0633594
18.9768,2.00887,-0.0640236
18.9862,2.00827,-0.0645626
18.9962,2.00762,-0.0649968
19.0068,2.00693,-0.0653445
19.018,2.0062,-0.0656218
19.03,2.00541,-0.065843
19.043,2.00455,-0.0660205
19.0569,2.00363,-0.0661649
19.072,2.00264,-0.0662855
19.0884,2.00154,-0.06639
19.1065,2.00034,-0.0664853
19.1265,1.99901,-0.066577
19.149,1.99751,-0.0666705
19.1745,1.99581,-0.0667709
19.204,1.99384,-0.0668837
19.2392,1.99148,-0.0670166
19.284,1.98848,-0.0671855
19.3371,1.98491,-0.0673874
19.3906,1.98129,-0.0675928
19.4418,1.97783,-0.0677911
19.4926,1.97438,-0.0679896
19.5434,1.97092,-0.0681898
19.5941,1.96746,-0.0683918
19.6448,1.96398,-0.0685959
19.6956,1.9605,-0.0688019
19.7463,1.957,-0.0690101
19.7971,1.95349,-0.0692203
19.8479,1.94997,-0.0694326
19.8987,1.94644,-0.0696471
19.9495,1.94289,-0.0698638
20,1.93936,-0.0700815
