t,x,v
3.47,1.74365,-0.0850638
3.48,1.7428,-0.0851447
3.49,1.74195,-0.0852258
3.5,1.7411,-0.0853072
3.51,1.74024,-0.0853889
3.52,1.73939,-0.0854708
3.53,1.73853,-0.0855529
3.54,1.73768,-0.0856353
3.55,1.73682,-0.085718
3.56,1.73596,-0.0858009
3.57,1.7351,-0.0858841
3.58,1.73425,-0.0859675
3.59,1.73339,-0.0860512
3.6,1.73252,-0.0861351
3.61,1.73166,-0.0862194
3.62,1.7308,-0.0863038
3.63,1.72994,-0.0863886
3.64,1.72907,-0.0864736
3.65,1.72821,-0.0865589
3.66,1.72734,-0.0866445
3.67,1.72647,-0.0867303
3.68,1.72561,-0.0868164
3.69,1.72474,-0.0869028
3.7,1.72387,-0.0869894
3.71,1.723,-0.0870763
3.72,1.72213,-0.0871636
3.73,1.72125,-0.087251
3.74,1.72038,-0.0873388
3.75,1.71951,-0.0874269
3.76,1.71863,-0.0875152
3.77,1.71776,-0.0876038
3.78,1.71688,-0.0876928
3.79,1.716,-0.087782
3.8,1.71513,-0.0878715
3.81,1.71425,-0.0879613
3.82,1.71337,-0.0880513
3.83,1.71249,-0.0881417
3.84,1.7116,-0.0882324
3.85,1.71072,-0.0883234
3.86,1.70984,-0.0884147
3.87,1.70895,-0.0885063
3.88,1.70807,-0.0885982
3.89,1.70718,-0.0886903
3.9,1.70629,-0.0887829
3.91,1.7054,-0.0888757
3.92,1.70452,-0.0889688
3.93,1.70363,-0.0890622
3.94,1.70273,-0.089156
3.95,1.70184,-0.0892501
3.96,1.70095,-0.0893444
3.97,1.70006,-0.0894392
3.98,1.69916,-0.0895342
3.99,1.69826,-0.0896295
4,1.69737,-0.0897252
4.01,1.69647,-0.0898212
4.02,1.69557,-0.0899176
4.03,1.69467,-0.0900143
4.04,1.69377,-0.0901113
4.05,1.69287,-0.0902086
4.06,1.69197,-0.0903063
4.07,1.69106,-0.0904043
4.08,1.69016,-0.0905027
4.09,1.68925,-0.0906014
4.1,1.68835,-0.0907004
4.11,1.68744,-0.0907998
4.12,1.68653,-0.0908996
4.13,1.68562,-0.0909996
4.14,1.68471,-0.0911001
4.15,1.6838,-0.0912009
4.16,1.68289,-0.0913021
4.17,1.68197,-0.0914036
4.18,1.68106,-0.0915055
4.19,1.68014,-0.0916077
4.2,1.67923,-0.0917103
4.21,1.67831,-0.0918133
4.22,1.67739,-0.0919167
4.23,1.67647,-0.0920204
4.24,1.67555,-0.0921245
4.25,1.67463,-0.092229
4.26,1.67371,-0.0923339
4.27,1.67278,-0.0924391
4.28,1.67186,-0.0925447
4.29,1.67093,-0.0926507
4.3,1.67,-0.0927572
4.31,1.66908,-0.0928639
4.32,1.66815,-0.0929711
4.33,1.66722,-0.0930787
4.34,1.66628,-0.0931867
4.35,1.66535,-0.0932951
4.36,1.66442,-0.0934039
4.37,1.66348,-0.0935131
4.38,1.66255,-0.0936227
4.39,1.66161,-0.0937327
4.4,1.66067,-0.0938431
4.41,1.65973,-0.093954
4.42,1.65879,-0.0940653
4.43,1.65785,-0.0941769
4.44,1.65691,-0.0942891
4.45,1.65597,-0.0944016
4.46,1.65502,-0.0945146
4.47,1.65408,-0.094628
4.48,1.65313,-0.0947418
4.49,1.65218,-0.0948561
4.5,1.65123,-0.0949708
4.51,1.65028,-0.095086
4.52,1.64933,-0.0952016
4.53,1.64838,-0.0953176
4.54,1.64743,-0.0954342
4.55,1.64647,-0.0955511
4.56,1.64551,-0.0956686
4.57,1.64456,-0.0957864
4.58,1.6436,-0.0959048
4.59,1.64264,-0.0960236
4.6,1.64168,-0.0961429
4.61,1.64072,-0.0962627
4.62,1.63975,-0.0963829
4.63,1.63879,-0.0965036
4.64,1.63782,-0.0966248
