t,x_euler,v_euler,E_euler,x_rk4,v_rk4,E_rk4,x_verlet,v_verlet,E_verlet,x_true,v_true,E_true
7.6,0.402176,-1.40302,1.06511,0.251266,-0.967918,0.499999,0.24819,-0.9675,0.498827,0.25126,-0.96792,0.5
7.7,0.261874,-1.44324,1.07576,0.15338,-0.988167,0.499999,0.150199,-0.987419,0.498778,0.153374,-0.988168,0.5
7.8,0.117549,-1.46943,1.08652,0.0539619,-0.998542,0.499999,0.0507062,-0.997464,0.498753,0.0539554,-0.998543,0.5
7.9,-0.0293934,-1.48118,1.09738,-0.0459955,-0.998941,0.499999,-0.0492938,-0.997535,0.498753,-0.0460021,-0.998941,0.5
8,-0.177512,-1.47824,1.10836,-0.145493,-0.989359,0.499999,-0.148801,-0.98763,0.498778,-0.1455,-0.989358,0.5
8.1,-0.325336,-1.46049,1.11944,-0.243537,-0.969891,0.499999,-0.24682,-0.967849,0.498826,-0.243544,-0.96989,0.5
8.2,-0.471385,-1.42796,1.13064,-0.339148,-0.940732,0.499999,-0.342371,-0.93839,0.498897,-0.339155,-0.940731,0.5
8.3,-0.614181,-1.38082,1.14194,-0.43137,-0.902174,0.499999,-0.434498,-0.899546,0.498986,-0.431377,-0.902172,0.5
8.4,-0.752263,-1.3194,1.15336,-0.519282,-0.854602,0.499999,-0.52228,-0.851707,0.499091,-0.519289,-0.854599,0.5
8.5,-0.884204,-1.24418,1.16489,-0.602006,-0.798491,0.499999,-0.604839,-0.795352,0.499207,-0.602012,-0.798487,0.5
8.6,-1.00862,-1.15576,1.17654,-0.678714,-0.734402,0.499999,-0.68135,-0.731042,0.49933,-0.67872,-0.734397,0.5
8.7,-1.1242,-1.05489,1.18831,-0.748641,-0.662974,0.499999,-0.751048,-0.659422,0.499455,-0.748647,-0.662969,0.5
8.8,-1.22969,-0.942474,1.20019,-0.811088,-0.584923,0.499999,-0.813235,-0.581208,0.499577,-0.811093,-0.584917,0.5
8.9,-1.32393,-0.819505,1.21219,-0.865431,-0.501027,0.499999,-0.867289,-0.497182,0.49969,-0.865435,-0.501021,0.5
9,-1.40588,-0.687112,1.22432,-0.911127,-0.412125,0.499999,-0.912671,-0.408184,0.499791,-0.91113,-0.412118,0.5
9.1,-1.4746,-0.546524,1.23656,-0.947719,-0.319105,0.499999,-0.948926,-0.315104,0.499876,-0.947722,-0.319098,0.5
9.2,-1.52925,-0.399064,1.24893,-0.974841,-0.222897,0.499999,-0.975692,-0.218873,0.49994,-0.974844,-0.22289,0.5
9.3,-1.56915,-0.246139,1.26141,-0.992224,-0.124462,0.499999,-0.992701,-0.120453,0.499982,-0.992225,-0.124454,0.5
9.4,-1.59377,-0.0892239,1.27403,-0.999692,-0.0247832,0.499999,-0.999783,-0.0208293,0.499999,-0.999693,-0.0247754,0.5
9.5,-1.60269,0.0701529,1.28677,-0.997172,0.0751432,0.499999,-0.996867,0.0790032,0.499992,-0.997172,0.0751511,0.5
9.6,-1.59567,0.230422,1.29964,-0.984689,0.174319,0.499999,-0.983982,0.178046,0.49996,-0.984688,0.174327,0.5
9.7,-1.57263,0.389989,1.31263,-0.962366,0.271753,0.499999,-0.961257,0.275308,0.499905,-0.962365,0.271761,0.5
9.8,-1.53363,0.547253,1.32576,-0.930429,0.366471,0.499999,-0.92892,0.369816,0.499829,-0.930426,0.366479,0.5
9.9,-1.47891,0.700616,1.33902,-0.889194,0.457528,0.499999,-0.887294,0.460627,0.499734,-0.889191,0.457536,0.5
10,-1.40885,0.848507,1.35241,-0.839075,0.544014,0.499999,-0.836795,0.546832,0.499625,-0.839072,0.544021,0.5
10.1,-1.324,0.989392,1.36593,-0.780573,0.625064,0.499999,-0.777928,0.627568,0.499506,-0.780568,0.625071,0.5
10.2,-1.22506,1.12179,1.37959,-0.714271,0.699868,0.499999,-0.711281,0.702028,0.499382,-0.714266,0.699875,0.5
10.3,-1.11288,1.2443,1.39339,-0.640833,0.76768,0.499999,-0.637522,0.769468,0.499258,-0.640826,0.767686,0.5
10.4,-0.988448,1.35558,1.40732,-0.560991,0.827821,0.499999,-0.557388,0.829214,0.499138,-0.560984,0.827826,0.5
10.5,-0.85289,1.45443,1.42139,-0.475544,0.879691,0.499999,-0.471679,0.880667,0.499028,-0.475537,0.879696,0.5
10.6,-0.707447,1.53972,1.43561,-0.385346,0.922771,0.499999,-0.381254,0.923314,0.498932,-0.385338,0.922775,0.5
10.7,-0.553475,1.61046,1.44996,-0.291298,0.956632,0.499999,-0.287017,0.956727,0.498853,-0.291289,0.956635,0.5
10.8,-0.392429,1.66581,1.46446,-0.194339,0.980934,0.499999,-0.189909,0.980574,0.498795,-0.19433,0.980936,0.5
10.9,-0.225848,1.70505,1.47911,-0.0954378,0.995435,0.499999,-0.0909018,0.994614,0.49876,-0.0954289,0.995436,0.5
11,-0.0553422,1.72764,1.4939,0.00441656,0.999989,0.499999,0.00901409,0.998709,0.49875,0.0044257,0.99999,0.5
11.1,0.117422,1.73317,1.50884,0.104227,0.994553,0.499999,0.10884,0.992816,0.498765,0.104236,0.994553,0.5
11.2,0.290739,1.72143,1.52393,0.202996,0.979179,0.499999,0.207577,0.976995,0.498804,0.203005,0.979178,0.5
11.3,0.462882,1.69236,1.53917,0.299736,0.954021,0.499999,0.304239,0.951404,0.498866,0.299745,0.954019,0.5
11.4,0.632118,1.64607,1.55456,0.393482,0.919332,0.499999,0.397858,0.916299,0.498948,0.393491,0.919329,0.5
11.5,0.796724,1.58286,1.5701,0.483296,0.875456,0.499999,0.487499,0.872032,0.499047,0.483305,0.875452,0.5
11.6,0.95501,1.50318,1.5858,0.568281,0.822833,0.499999,0.572264,0.819043,0.499159,0.56829,0.822829,0.5
11.7,1.10533,1.40768,1.60166,0.647588,0.761989,0.499999,0.651307,0.757865,0.49928,0.647596,0.761984,0.5
11.8,1.2461,1.29715,1.61768,0.720425,0.693532,0.499999,0.723837,0.689108,0.499405,0.720432,0.693525,0.5
11.9,1.37581,1.17254,1.63385,0.786064,0.618144,0.499999,0.789129,0.613459,0.499528,0.78607,0.618137,0.5
12,1.49307,1.03496,1.65019,0.843848,0.536581,0.499999,0.846529,0.531676,0.499646,0.843854,0.536573,0.5
12.1,1.59656,0.885653,1.6667,0.893201,0.449656,0.499999,0.895464,0.444577,0.499752,0.893206,0.449647,0.5
12.2,1.68513,0.725997,1.68336,0.933629,0.358238,0.499999,0.935445,0.353031,0.499844,0.933634,0.358229,0.5
12.3,1.75773,0.557484,1.7002,0.964729,0.263241,0.499999,0.96607,0.257955,0.499917,0.964733,0.263232,0.5
12.4,1.81348,0.381711,1.7172,0.98619,0.165614,0.499999,0.987036,0.1603,0.499968,0.986192,0.165604,0.5
12.5,1.85165,0.200364,1.73437,0.997797,0.0663322,0.499999,0.998131,0.0610419,0.499995,0.997798,0.0663219,0.5
12.6,1.87168,0.0151991,1.75171,0.999434,-0.0336126,0.499999,0.999244,-0.0388269,0.499998,0.999435,-0.033623,0.5
12.7,1.8732,-0.171969,1.76923,0.991085,-0.133221,0.499999,0.990365,-0.138307,0.499976,0.991085,-0.133232,0.5
12.8,1.85601,-0.359289,1.78692,0.972834,-0.231499,0.499999,0.971583,-0.236405,0.49993,0.972833,-0.23151,0.5
12.9,1.82008,-0.54489,1.80479,0.944863,-0.327464,0.499999,0.943084,-0.332138,0.499862,0.94486,-0.327474,0.5
13,1.76559,-0.726898,1.82284,0.90745,-0.420157,0.499999,0.905155,-0.42455,0.499774,0.907447,-0.420167,0.5
13.1,1.6929,-0.903456,1.84107,0.860971,-0.508652,0.499999,0.858174,-0.512716,0.499671,0.860967,-0.508661,0.5
13.2,1.60255,-1.07275,1.85948,0.80589,-0.592064,0.499999,0.802612,-0.595756,0.499555,0.805884,-0.592074,0.5
13.3,1.49528,-1.233,1.87807,0.742756,-0.669561,0.499999,0.739023,-0.672838,0.499433,0.742749,-0.66957,0.5
13.4,1.37198,-1.38253,1.89685,0.672201,-0.740368,0.499999,0.668044,-0.743191,0.499308,0.672193,-0.740376,0.5
13.5,1.23372,-1.51973,1.91582,0.594929,-0.803777,0.499999,0.590385,-0.806112,0.499186,0.594921,-0.803784,0.5
13.6,1.08175,-1.6431,1.93498,0.511713,-0.859155,0.499999,0.506822,-0.860973,0.499071,0.511704,-0.859162,0.5
13.7,0.917442,-1.75127,1.95433,0.423384,-0.905949,0.499999,0.41819,-0.907223,0.498969,0.423375,-0.905955,0.5
13.8,0.742315,-1.84302,1.97387,0.330825,-0.943691,0.499999,0.325377,-0.944402,0.498882,0.330815,-0.943696,0.5
13.9,0.558013,-1.91725,1.99361,0.234961,-0.972004,0.499999,0.22931,-0.972136,0.498816,0.23495,-0.972008,0.5
14,0.366288,-1.97305,2.01355,0.136749,-0.990605,0.499999,0.13095,-0.990149,0.498771,0.136737,-0.990607,0.5
14.1,0.168982,-2.00968,2.03369,0.03717,-0.999308,0.499999,0.0312802,-0.99826,0.498751,0.0371584,-0.999309,0.5
14.2,-0.0319855,-2.02658,2.05402,-0.0627799,-0.998026,0.499999,-0.0687022,-0.996389,0.498756,-0.0627917,-0.998027,0.5
14.3,-0.234643,-2.02338,2.07456,-0.162103,-0.986773,0.499999,-0.167998,-0.984554,0.498785,-0.162114,-0.986772,0.5
14.4,-0.436981,-1.99992,2.09531,-0.259806,-0.96566,0.499999,-0.265613,-0.962874,0.498838,-0.259817,-0.965658,0.5
14.5,-0.636973,-1.95622,2.11626,-0.354913,-0.934898,0.499999,-0.360572,-0.931565,0.498913,-0.354924,-0.934895,0.5
14.6,-0.832595,-1.89252,2.13742,-0.446474,-0.894796,0.499999,-0.451926,-0.89094,0.499005,-0.446485,-0.894791,0.5
14.7,-1.02185,-1.80926,2.1588,-0.533574,-0.845752,0.499999,-0.53876,-0.841405,0.499113,-0.533584,-0.845747,0.5
14.8,-1.20277,-1.70708,2.18039,-0.615342,-0.788259,0.499999,-0.620207,-0.783457,0.499231,-0.615352,-0.788252,0.5
14.9,-1.37348,-1.5868,2.20219,-0.690963,-0.722889,0.499999,-0.695452,-0.717674,0.499355,-0.690972,-0.722881,0.5
15,-1.53216,-1.44945,2.22421,-0.759679,-0.650297,0.499999,-0.763742,-0.644714,0.499479,-0.759688,-0.650288,0.5
15.1,-1.67711,-1.29623,2.24645,-0.820805,-0.571207,0.499999,-0.824395,-0.565308,0.4996,-0.820813,-0.571197,0.5
15.2,-1.80673,-1.12852,2.26892,-0.87373,-0.486409,0.499999,-0.876803,-0.480248,0.499711,-0.873737,-0.486399,0.5
15.3,-1.91958,-0.947851,2.29161,-0.917925,-0.396752,0.499999,-0.920444,-0.390385,0.499809,-0.917931,-0.396741,0.5
15.4,-2.01437,-0.755893,2.31452,-0.952948,-0.30313,0.499999,-0.95488,-0.296619,0.49989,-0.952953,-0.303118,0.5
15.5,-2.08996,-0.554457,2.33767,-0.97845,-0.20648,0.499999,-0.979768,-0.199887,0.49995,-0.978453,-0.206467,0.5
15.6,-2.1454,-0.345461,2.36105,-0.994175,-0.107766,0.499999,-0.994858,-0.101155,0.499987,-0.994178,-0.107754,0.5
15.7,-2.17995,-0.130921,2.38466,-0.999967,-0.00797621,0.499999,-0.999999,-0.00141246,0.5,-0.999968,-0.00796318,0.5
15.8,-2.19304,0.0870739,2.4085,-0.995768,0.0918937,0.499999,-0.99514,0.0983445,0.499988,-0.995768,0.0919069,0.5
15.9,-2.18433,0.306378,2.43259,-0.981619,0.190845,0.499999,-0.98033,0.197118,0.499951,-0.981618,0.190859,0.5
16,-2.15369,0.524811,2.45691,-0.957662,0.28789,0.499999,-0.955717,0.29392,0.499892,-0.957659,0.287903,0.5
16.1,-2.10121,0.740181,2.48148,-0.924137,0.382059,0.499999,-0.921546,0.387783,0.499812,-0.924133,0.382071,0.5
16.2,-2.0272,0.950302,2.5063,-0.881378,0.47241,0.499999,-0.87816,0.477769,0.499714,-0.881372,0.472422,0.5
16.3,-1.93217,1.15302,2.53136,-0.829812,0.55804,0.499999,-0.825992,0.562976,0.499603,-0.829806,0.558052,0.5
16.4,-1.81686,1.34624,2.55667,-0.769956,0.638095,0.499999,-0.765565,0.642554,0.499483,-0.769948,0.638107,0.5
16.5,-1.68224,1.52792,2.58224,-0.702406,0.711775,0.499999,-0.697481,0.715707,0.499358,-0.702397,0.711785,0.5
16.6,-1.52945,1.69615,2.60806,-0.627838,0.778343,0.499999,-0.622423,0.781702,0.499234,-0.627828,0.778352,0.5
16.7,-1.35983,1.84909,2.63414,-0.546997,0.837133,0.499999,-0.541141,0.83988,0.499116,-0.546986,0.837142,0.5
16.8,-1.17492,1.98508,2.66048,-0.46069,0.88756,0.499999,-0.454447,0.889659,0.499008,-0.460679,0.887567,0.5
16.9,-0.976415,2.10257,2.68709,-0.369781,0.929118,0.499999,-0.363209,0.930542,0.498915,-0.369768,0.929124,0.5
17,-0.766158,2.20021,2.71396,-0.275177,0.961392,0.499999,-0.268339,0.96212,0.49884,-0.275163,0.961397,0.5
17.1,-0.546137,2.27683,2.7411,-0.177823,0.984061,0.499999,-0.170785,0.984076,0.498786,-0.177809,0.984065,0.5
17.2,-0.318455,2.33144,2.76851,-0.0786923,0.996898,0.499999,-0.0715237,0.996191,0.498756,-0.0786782,0.9969,0.5
17.3,-0.0853108,2.36328,2.7962,0.0212244,0.999774,0.499999,0.028453,0.998345,0.498751,0.0212388,0.999774,0.5
17.4,0.151018,2.37182,2.82416,0.120929,0.99266,0.499999,0.128145,0.990515,0.498771,0.120944,0.992659,0.5
17.5,0.388199,2.35671,2.8524,0.219426,0.975628,0.499999,0.226556,0.97278,0.498814,0.21944,0.975626,0.5
17.6,0.623871,2.31789,2.88092,0.31573,0.948848,0.499999,0.322701,0.945317,0.49888,0.315744,0.948844,0.5
17.7,0.85566,2.25551,2.90973,0.408879,0.912587,0.499999,0.415619,0.908401,0.498966,0.408893,0.912582,0.5
17.8,1.08121,2.16994,2.93883,0.497943,0.867208,0.499999,0.504381,0.862401,0.499068,0.497956,0.867202,0.5
17.9,1.2982,2.06182,2.96822,0.582031,0.813165,0.499999,0.5881,0.807777,0.499182,0.582044,0.813157,0.5
18,1.50439,1.932,2.9979,0.660305,0.750996,0.499999,0.665937,0.745075,0.499304,0.660317,0.750987,0.5
18.1,1.69759,1.78156,3.02788,0.73198,0.681324,0.499999,0.737115,0.674923,0.499429,0.731991,0.681314,0.5
18.2,1.87574,1.6118,3.05816,0.796342,0.604844,0.499999,0.800921,0.598021,0.499552,0.796352,0.604833,0.5
18.3,2.03692,1.42423,3.08874,0.852748,0.522321,0.499999,0.856719,0.515139,0.499667,0.852757,0.522309,0.5
18.4,2.17935,1.22054,3.11963,0.900632,0.434579,0.499999,0.903949,0.427105,0.499771,0.90064,0.434566,0.5
18.5,2.3014,1.0026,3.15082,0.939518,0.342495,0.499999,0.94214,0.334801,0.49986,0.939525,0.342481,0.5
18.6,2.40166,0.772461,3.18233,0.969017,0.246988,0.499999,0.970909,0.239148,0.499928,0.969022,0.246974,0.5
18.7,2.47891,0.532295,3.21416,0.988834,0.149014,0.499999,0.98997,0.141104,0.499975,0.988837,0.148999,0.5
18.8,2.53214,0.284404,3.2463,0.99877,0.0495512,0.499999,0.99913,0.0416495,0.499998,0.998772,0.0495356,0.5
18.9,2.56058,0.0311909,3.27876,0.998727,-0.0504069,0.499999,0.998299,-0.058222,0.499996,0.998728,-0.0504227,0.5
19,2.56369,-0.224867,3.31155,0.988706,-0.149861,0.499999,0.987486,-0.157511,0.499969,0.988705,-0.149877,0.5
19.1,2.54121,-0.481236,3.34466,0.968805,-0.247819,0.499999,0.966797,-0.255225,0.499918,0.968802,-0.247834,0.5
19.2,2.49308,-0.735357,3.37811,0.939225,-0.343299,0.499999,0.936441,-0.350387,0.499846,0.93922,-0.343315,0.5
19.3,2.41955,-0.984665,3.41189,0.90026,-0.43535,0.499999,0.89672,-0.442045,0.499755,0.900254,-0.435365,0.5
19.4,2.32108,-1.22662,3.44601,0.8523,-0.523051,0.499999,0.848032,-0.529283,0.499649,0.852292,-0.523066,0.5
19.5,2.19842,-1.45873,3.48047,0.795824,-0.605526,0.499999,0.790863,-0.611228,0.499532,0.795815,-0.60554,0.5
19.6,2.05255,-1.67857,3.51527,0.731396,-0.681951,0.499999,0.725786,-0.68706,0.499408,0.731386,-0.681964,0.5
19.7,1.88469,-1.88383,3.55043,0.659661,-0.751562,0.499999,0.653451,-0.756022,0.499284,0.659649,-0.751573,0.5
19.8,1.69631,-2.07229,3.58593,0.581334,-0.813663,0.499999,0.574582,-0.817424,0.499163,0.581322,-0.813674,0.5
19.9,1.48908,-2.24193,3.62179,0.497199,-0.867635,0.499999,0.489966,-0.870651,0.49905,0.497186,-0.867644,0.5
20,1.26489,-2.39083,3.65801,0.408097,-0.912937,0.499999,0.400452,-0.915172,0.49895,0.408082,-0.912945,0.5
20.1,1.0258,-2.51732,3.69459,0.314916,-0.949118,0.499999,0.306932,-0.950541,0.498868,0.314901,-0.949125,0.5
20.2,0.77407,-2.6199,3.73153,0.218589,-0.975815,0.499999,0.210343,-0.976405,0.498805,0.218573,-0.975821,0.5
20.3,0.51208,-2.69731,3.76885,0.120078,-0.992763,0.499999,0.111651,-0.992505,0.498766,0.120062,-0.992766,0.5
20.4,0.242349,-2.74852,3.80654,0.0203678,-0.999791,0.499999,0.0118424,-0.998679,0.49875,0.0203508,-0.999793,0.5
20.5,-0.0325023,-2.77275,3.8446,-0.0795465,-0.99683,0.499999,-0.0880847,-0.994867,0.49876,-0.0795636,-0.99683,0.5
